City,lat,lng,,,,,city,state_id
"Sekiu, WA",48.2637,-124.3012,,,,,Sekiu,WA
"Brier, WA",47.7922,-122.2734,,,,,Brier,WA
"Spokane, WA",47.6671,-117.433,,,,,Spokane,WA
"Fall City, WA",47.5717,-121.9134,,,,,Fall City,WA
"Pasco, WA",46.2506,-119.1303,,,,,Pasco,WA
"Lyman, WA",48.523,-122.0634,,,,,Lyman,WA
"Oakville, WA",46.8403,-123.2333,,,,,Oakville,WA
"Dash Point, WA",47.3131,-122.4153,,,,,Dash Point,WA
"Herron Island, WA",47.2645,-122.8348,,,,,Herron Island,WA
"West Clarkston-Highland, WA",46.4023,-117.063,,,,,West Clarkston-Highland,WA
"Royal City, WA",46.9,-119.6142,,,,,Royal City,WA
"Venersborg, WA",45.786,-122.4721,,,,,Venersborg,WA
"Hoquiam, WA",46.9863,-123.9023,,,,,Hoquiam,WA
"Willapa, WA",46.6755,-123.6648,,,,,Willapa,WA
"Quilcene, WA",47.8369,-122.9058,,,,,Quilcene,WA
"Freeland, WA",48.0185,-122.5358,,,,,Freeland,WA
"McCleary, WA",47.0584,-123.2723,,,,,McCleary,WA
"Roosevelt, WA",45.7476,-120.2161,,,,,Roosevelt,WA
"Long Beach, WA",46.3559,-124.0556,,,,,Long Beach,WA
"Trout Lake, WA",45.9976,-121.5291,,,,,Trout Lake,WA
"Coulee Dam, WA",47.9688,-118.9761,,,,,Coulee Dam,WA
"Swede Heaven, WA",48.2829,-121.7136,,,,,Swede Heaven,WA
"Pine Grove, WA",48.6502,-118.6834,,,,,Pine Grove,WA
"Langley, WA",48.0337,-122.4084,,,,,Langley,WA
"Sedro-Woolley, WA",48.5113,-122.2321,,,,,Sedro-Woolley,WA
"Hatton, WA",46.7735,-118.8277,,,,,Hatton,WA
"Entiat, WA",47.678,-120.2175,,,,,Entiat,WA
"Bainbridge Island, WA",47.6439,-122.5434,,,,,Bainbridge Island,WA
"Auburn, WA",47.3041,-122.211,,,,,Auburn,WA
"Ocean City, WA",47.0763,-124.162,,,,,Ocean City,WA
"White Swan, WA",46.3769,-120.7382,,,,,White Swan,WA
"Felida, WA",45.7138,-122.7103,,,,,Felida,WA
"Lacey, WA",47.0458,-122.7934,,,,,Lacey,WA
"Gold Bar, WA",47.8566,-121.6927,,,,,Gold Bar,WA
"Clyde Hill, WA",47.6303,-122.218,,,,,Clyde Hill,WA
"Upper Elochoman, WA",46.2403,-123.3247,,,,,Upper Elochoman,WA
"Marcus, WA",48.6642,-118.0601,,,,,Marcus,WA
"Canyon Creek, WA",48.1157,-121.9831,,,,,Canyon Creek,WA
"Malone, WA",46.9779,-123.3035,,,,,Malone,WA
"Bothell East, WA",47.8064,-122.1844,,,,,Bothell East,WA
"Yarrow Point, WA",47.6452,-122.2179,,,,,Yarrow Point,WA
"Steptoe, WA",47.0075,-117.3502,,,,,Steptoe,WA
"West Richland, WA",46.3115,-119.3997,,,,,West Richland,WA
"Orient, WA",48.8637,-118.2059,,,,,Orient,WA
"Federal Way, WA",47.309,-122.3359,,,,,Federal Way,WA
"Pe Ell, WA",46.5712,-123.2982,,,,,Pe Ell,WA
"Deep River, WA",46.3521,-123.6984,,,,,Deep River,WA
"Bothell, WA",47.7736,-122.2044,,,,,Bothell,WA
"South Wenatchee, WA",47.3886,-120.2829,,,,,South Wenatchee,WA
"Snoqualmie Pass, WA",47.4014,-121.4109,,,,,Snoqualmie Pass,WA
"Hartline, WA",47.6895,-119.1081,,,,,Hartline,WA
"Lake Forest Park, WA",47.7597,-122.2878,,,,,Lake Forest Park,WA
"Crocker, WA",47.0843,-122.1225,,,,,Crocker,WA
"Elbe, WA",46.7653,-122.1946,,,,,Elbe,WA
"Ravensdale, WA",47.3563,-121.9692,,,,,Ravensdale,WA
"Arlington, WA",48.1697,-122.1446,,,,,Arlington,WA
"McChord AFB, WA",47.1328,-122.4924,,,,,McChord AFB,WA
"Lebam, WA",46.5641,-123.5509,,,,,Lebam,WA
"Lynden, WA",48.9503,-122.4544,,,,,Lynden,WA
"Coupeville, WA",48.2172,-122.6775,,,,,Coupeville,WA
"Prescott, WA",46.2988,-118.3126,,,,,Prescott,WA
"South Bend, WA",46.668,-123.8008,,,,,South Bend,WA
"Mabton, WA",46.2115,-119.9938,,,,,Mabton,WA
"North Bend, WA",47.4898,-121.7738,,,,,North Bend,WA
"Grapeview, WA",47.3316,-122.8413,,,,,Grapeview,WA
"Garfield, WA",47.0103,-117.1395,,,,,Garfield,WA
"Rochester, WA",46.8288,-123.0722,,,,,Rochester,WA
"Dayton, WA",46.3168,-117.9769,,,,,Dayton,WA
"Algona, WA",47.2822,-122.2504,,,,,Algona,WA
"Mineral, WA",46.7193,-122.1859,,,,,Mineral,WA
