,Flight Date,Carrier,ORIGIN,DEST,DEP_DELAY_NEW,ARR_DELAY_NEW,FLIGHTS,WEATHER_DELAY
361,2017-11-29,DL,IAH,ATL,0.0,57.0,1.0,0.0
362,2017-12-03,DL,IAH,ATL,52.0,48.0,1.0,0.0
363,2017-12-04,DL,IAH,ATL,0.0,18.0,1.0,0.0
364,2017-12-04,DL,IAH,SLC,38.0,26.0,1.0,0.0
365,2017-12-05,DL,IAH,ATL,0.0,18.0,1.0,0.0
366,2017-12-06,DL,IAH,ATL,39.0,37.0,1.0,0.0
367,2017-12-06,DL,IAH,ATL,81.0,69.0,1.0,0.0
368,2017-12-07,DL,IAH,ATL,24.0,15.0,1.0,0.0
369,2017-12-08,DL,IAH,MSP,166.0,212.0,1.0,166.0
370,2017-12-08,DL,IAH,ATL,285.0,314.0,1.0,285.0
371,2017-12-08,DL,IAH,ATL,1118.0,1138.0,1.0,0.0
372,2017-12-08,DL,IAH,ATL,155.0,213.0,1.0,155.0
373,2017-12-09,DL,IAH,ATL,27.0,57.0,1.0,27.0
374,2017-12-09,DL,IAH,MSP,7.0,23.0,1.0,0.0
375,2017-12-09,DL,IAH,ATL,22.0,16.0,1.0,0.0
376,2017-12-10,DL,IAH,ATL,25.0,34.0,1.0,25.0
377,2017-12-12,DL,IAH,ATL,35.0,44.0,1.0,0.0
378,2017-12-12,DL,IAH,ATL,111.0,105.0,1.0,0.0
